#ID	A323-01	A323-02	A323-03	A323-04	A323-05	A323-06	A323-07	A323-08	A323-11	A323-12	A323-15	A323-16	A323-17	A323-18	A323-19	A323-22	A323-24	A323-28	A323-29	A323-34	A323-35	A323-37	A323-38	A323-39	A323-40	A323-41	A323-42	A323-43	A323-44	A323-45	A323-46	A323-47	A323-48	A323-49	A323-50
hsa-miR-4677-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.275054033	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4683	0	0	0	0	0	0	0	0	0	0	0	4.663570056	0	0	0	0	0	4.710626231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4685-3p	0	0	0	0	5.124342163	0	0	0	0	0	0	2.331785028	0	0	0	0	0	0	0	5.541928569	0	0	0	0	0	0	3.69607883	0	9.64667447	0	4.648179308	4.690145535	0	0	0
hsa-miR-4685-5p	0	0	0	0	0	0	5.530331101	0	0	0	0	0	0	0	3.909349992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4687-3p	0	0	0	0	0	0	0	0	0	0	0	2.331785028	0	0	0	0	0	0	0	0	0	0	0	3.266788845	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4687-5p	0	0	3.118470702	0	10.24868433	0	0	0	0	0	0	0	0	0	0	0	0	4.710626231	0	2.216771428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.534327466	0	0	0	0	6.530825496	0	0	0	0	0	0	0
hsa-miR-4697-3p	0	0	0	0	0	0	0	0	0	0	16.20469774	0	0	0	0	0	0	14.13187869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4701-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.455229559	0	0	0	0	0	0	0	0	0	0	0	6.530825496	0	0	0	0	0	0	0
hsa-miR-4706	0	3.344537534	0	2.834250213	0	7.385960766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.550108065	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4707-5p	0	0	0	0	5.124342163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.825162098	2.363803549	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4710	0	0	0	0	0	29.54384306	0	8.437216562	3.269042171	0	0	0	0	0	0	0	5.375592659	4.710626231	10.1271976	0	0	0	0	0	0	0	0	0	0	0	4.648179308	0	0	0	4.063198997
hsa-miR-4713-3p	0	0	0	0	0	0	0	0	0	0	0	0	2.99277544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4714-3p	0	3.344537534	0	0	0	0	2.76516555	0	3.269042171	0	0	0	0	0	0	0	0	0	0	0	0	2.363803549	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4714-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.363803549	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4715-5p	0	0	0	0	0	22.1578823	0	0	0	0	0	0	0	0	0	0	2.68779633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4716-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.533577689	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4717-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.837835746	0	0	0	0	0	0	0	13.68457065	0	0
hsa-miR-4721	0	0	0	0	0	0	2.76516555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.842285323	0	0
hsa-miR-4722-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.22761478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4725-3p	0	0	0	0	0	0	0	0	1.634521085	0	0	0	0	0	0	0	0	0	0	0	0	2.363803549	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4726-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.108385714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4728-3p	0	10.0336126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4731-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.216771428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4732-3p	56.73023154	40.13445041	31.18470702	96.36450725	79.42730352	7.385960766	19.35615885	80.15355734	168.3556718	122.5573637	24.30704661	41.97213051	80.80493688	16.11210805	62.54959988	84.55229559	43.00474127	70.65939346	30.38159281	60.96121426	43.22602662	42.54846388	45.61789438	75.13614343	77.40537193	6.016267989	48.04902479	26.12330199	9.64667447	47.02032218	60.42633101	51.59160089	61.58056791	20.67425642	20.31599499
hsa-miR-4732-5p	97.2518255	73.57982575	112.2649453	113.3700085	79.42730352	118.1753723	82.95496651	80.15355734	277.8685845	102.1311364	76.97231427	60.62641073	95.76881408	102.7146888	109.4617998	122.6008286	72.5705009	103.6337771	40.50879041	82.02054282	68.25162098	70.91410647	101.3730986	65.33577689	87.08104342	24.06507195	129.362759	32.65412748	154.3467915	47.02032218	27.88907585	56.28174642	143.6879918	82.69702566	30.47399248
hsa-miR-4734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.530825496	0	0	0	0	0	0	0
hsa-miR-4737	0	0	0	11.33700085	0	0	0	4.218608281	0	0	0	0	0	0	0	0	2.68779633	0	10.1271976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.78283761	0
hsa-miR-4738-3p	0	0	0	0	0	7.385960766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4741	4.052159396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.03253598	0	0	0	0	0	0	0	0	0
hsa-miR-4742-3p	0	0	0	0	0	0	0	0	0	0	0	4.663570056	0	0	0	0	0	0	0	1.108385714	4.550108065	7.091410647	7.602982397	9.800366534	4.837835746	6.016267989	0	0	6.431116313	0	0	9.38029107	0	0	0
hsa-miR-4743-5p	0	6.689075068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4745-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.108385714	4.550108065	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4745-5p	8.104318791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.275054033	0	0	0	0	0	0	0	3.215558157	0	0	0	0	0	0
hsa-miR-4746-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.094798496
